City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Chapais,CA,72.72,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
402,Makokou,GA,71.65,scattered clouds,0.5738,12.8642,Hôtel
404,Ormara,PK,83.98,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
405,Tortoli,IT,76.62,clear sky,39.9256,9.6572,Hotel La Bitta
407,Baiao,BR,81.9,broken clouds,-2.7906,-49.6717,Município de Baião
408,Winnemucca,US,86.05,few clouds,40.973,-117.7357,Winners Inn Casino
410,Portland,US,78.53,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
414,Kokopo,PG,78.71,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
415,Daito,JP,84.2,overcast clouds,34.7,135.6167,公益社
417,Sakaiminato,JP,82.33,light rain,35.55,133.2333,Italian pasley
418,Canutama,BR,78.03,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
424,Kualakapuas,ID,73.26,overcast clouds,-3.0091,114.3876,Guest House Izonk
425,Hirado,JP,85.39,overcast clouds,33.3597,129.5531,Samson Hotel
426,Sur,OM,88.23,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
429,Tecamac,MX,76.98,broken clouds,19.7333,-98.9667,Hotel Paléis
431,Srednekolymsk,RU,70.74,scattered clouds,67.45,153.6833,
432,La Orilla,MX,86.41,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
437,Kabo,CF,70.77,overcast clouds,7.6994,18.629,
441,Chake Chake,TZ,72.66,scattered clouds,-5.2459,39.7666,Pemba Sea View Hotel
443,Tiznit,MA,70.21,clear sky,29.5833,-9.5,
446,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
450,Kaka,TM,77.86,clear sky,37.3482,59.6143,
451,Grand-Lahou,CI,74.89,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
452,Kaura Namoda,NG,80.08,broken clouds,12.5898,6.5779,Moonlight Hotel
454,Smithers,CA,87.39,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
455,Kerouane,GN,70.95,moderate rain,9.2667,-9.0167,Hotel Seka Seka
456,Mumford,GH,72.7,clear sky,5.2618,-0.759,Spanish Villa
459,Sciacca,IT,75.04,few clouds,37.5082,13.0881,Hotel Aliai
460,Preobrazheniye,RU,69.8,overcast clouds,42.9019,133.9064,Campsite Orlan
465,Caohe,CN,81.63,overcast clouds,30.2297,115.4335,Ai Jing Hotel
466,Raga,SS,70.7,overcast clouds,8.4596,25.678,
471,Jertih,MY,75.2,overcast clouds,5.7336,102.4897,One Utama Hotel
473,Mindelo,CV,76.6,broken clouds,16.8901,-24.9804,Hotel Gaudi
475,Chalus,IR,77.81,few clouds,36.655,51.4204,Rama Spa
478,Estevan,CA,71.94,overcast clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
479,La Ciotat,FR,78.82,clear sky,43.1748,5.6045,ibis La Ciotat
480,Diffa,NE,84.72,broken clouds,13.3154,12.6113,ProDAF/Diffa
481,Luoyang,CN,72.97,broken clouds,34.6836,112.4536,易家国际青年旅舍
484,Noumea,NC,70.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
488,Tabuk,PH,74.1,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
491,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
494,Kharar,IN,77.65,moderate rain,30.7444,76.6478,OYO 19817 Hotel Sartaj
498,Caravelas,BR,74.25,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
500,Champerico,GT,84.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
501,Kulu,TR,73.44,broken clouds,39.0951,33.0799,Kapadokya Motel
503,Krasnyy Luch,UA,74.66,scattered clouds,48.1395,38.9371,"КРАСНЫЙ ЛУЧ, ГОСТИНИЦА"
506,Mutsu,JP,75.72,broken clouds,41.2894,141.2169,Mutsu Park Hotel
507,Chicholi,IN,74.43,overcast clouds,21.4667,79.6833,Prdip meshram
508,Pafos,CY,80.38,scattered clouds,34.7667,32.4167,Elysium Hotel
511,Touros,BR,75.24,clear sky,-5.1989,-35.4608,INN NEW HORIZON
512,Challans,FR,82.6,clear sky,46.8436,-1.8749,Citotel Le Challans
